foil_id,bias1_orig,bias2_orig,redundancy_orig,unique1_orig,unique2_orig,synergy_orig,bias1_foil,bias2_foil,redundancy_foil,unique1_foil,unique2_foil,synergy_foil,bias1_rand,bias2_rand,redundancy_rand,unique1_rand,unique2_rand,synergy_rand
tensor([421780]),0.3959686970438546,0.6040313029561454,0.6637925163829599,0.3303297876810876,0.5039022870945169,0.17460085499175637,0.15660924150027622,0.8433907584997237,0.7343797539498711,0.12569199586926436,0.6768915213304065,0.003342554076974258,0.4999765814616701,0.5000234185383298,0.6721053254227074,0.4677542721836684,0.4677980907214089,0.0017802241063153978
tensor([94824]),0.5767311340763742,0.4232688659236258,1.026404550183277,0.37146893063382613,0.2726248397306397,0.10164106788978611,0.4411191272375351,0.5588808727624649,0.6962701869185959,0.3998500324478804,0.5065945258552286,0.10913039001220692,0.28962655692923506,0.7103734430707649,0.8969409061234643,0.19079506639393465,0.46796726678724504,0.0014098587530011475
tensor([780467]),0.28979720016143673,0.7102027998385633,0.7728801400381393,0.17367599559339988,0.42562584547563237,0.17441670494134098,0.3379491416302794,0.6620508583697207,0.917480117132093,0.2802526457871125,0.5490219735688154,0.0014007207596546944,0.5125484214123698,0.48745157858763016,0.7996732877539987,0.49463218979133977,0.47041261207994417,0.1014979339606692
tensor([473461]),0.4131033259957052,0.5868966740042948,0.8663057977334976,0.47021478678716083,0.6680350340144499,0.0030006889027296424,0.48296724229851096,0.5170327577014892,0.7663772953093846,0.5317426517606617,0.5692484821928991,0.10281301076313887,0.3334713363349511,0.6665286636650489,0.8441801297306193,0.19104679185460863,0.3818563966302754,0.14002977984214193
tensor([729838]),0.4716516035585564,0.5283483964414435,0.9247082021094606,0.42171988280803363,0.4724144307959194,0.24967098164612178,0.4745037656046428,0.5254962343953573,0.8737035924477612,0.47222311537452605,0.5229704944649859,0.11806956794756318,0.33337536735087,0.6666246326491301,0.8371710574174447,0.2520645354290951,0.5040337253155356,0.1269241410577493
tensor([25957]),0.46928834343915266,0.5307116565608474,0.866695068546969,0.43856426136776233,0.49596621972999805,0.09770123969160016,0.5394207904673378,0.46057920953266224,0.8205554692096761,0.3934903965264589,0.33597795819815374,0.1291805076684176,0.4326623860665223,0.5673376139334777,0.9153458311788403,0.25198648346719205,0.33042255319089375,0.04884381821158623
tensor([770591]),0.5226093024591875,0.4773906975408126,0.879657108998086,0.4041814558565623,0.3692097829802672,0.22322523659535998,0.46929954699838694,0.5307004530016131,0.960575801483404,0.4387720936549938,0.496178933809991,0.0958195844625982,0.5579071088717934,0.4420928911282066,0.6723993836082547,0.41577247088382263,0.3294635447041537,0.13947769886141503
tensor([827139]),0.5000109695620019,0.4999890304379982,1.0387260490213752,0.3182495696985326,0.31823560577134147,0.11654824473680558,0.5265464461416937,0.4734535538583063,0.6393137673263767,0.47238839182437187,0.42475638103627744,0.003847285039490833,0.34753105446776,0.65246894553224,1.1979753139031717,0.2309898927161445,0.433669825448907,0.0010449552727769262
tensor([1614]),0.3947462573956302,0.6052537426043698,1.1699839885529553,0.29156987865297007,0.4470561961745039,0.1506193155958826,0.41349616547398577,0.5865038345260142,1.1418200501984717,0.4145935485005808,0.5880603649289114,0.010309189745405511,0.36860309886987735,0.6313969011301226,0.687190512016842,0.25207637632420854,0.43179301353459837,0.17553878417286306
tensor([508766]),0.45293794950815314,0.547062050491847,0.9239259337337347,0.31953879242732625,0.3859414897488847,0.04218906211130835,0.48254583171949966,0.5174541682805004,0.8827202721446361,0.35973636380338603,0.3857604163086804,0.04337822576455164,0.5512304988718009,0.4487695011281991,0.8788382113503292,0.5320113941941595,0.43312278340128024,0.10193776010954414
tensor([281914]),0.5645142095783827,0.43548579042161734,0.8433053970553392,0.4666596787675658,0.35999742011414126,0.10827080986266147,0.5469929300268666,0.4530070699731335,0.9643454202199637,0.3859373682032493,0.31962452669051705,0.04193782012018188,0.26841618333605655,0.7315838166639435,0.7730096133863769,0.17360450026278698,0.47316909626598297,0.2528422362351743
